Start date,End date,Country,Iso,Location,Magnitude,Disaster type,Disaster subtype,Total deaths,Disaster name,Disaster No.
26/12/1990,26/12/1990,Afghanistan,AFG,, ¡C,Extreme temperature ,Cold wave,144,,1990-0248
03/01/1991,03/01/1991,Afghanistan,AFG,East and South Afghan Provinces,-15 ¡C,Extreme temperature ,Cold wave,80,,1991-0009
31/01/2001,20/02/2001,Afghanistan,AFG,"Hirat, Faryab, Jawzjan, Balkh, Samangan, Sar-e-Pul, Kunduz, Baghlan provinces",-25 ¡C,Extreme temperature ,Cold wave,150,,2001-0027
/11/2001,/11/2001,Afghanistan,AFG,Kunduz province, ¡C,Extreme temperature ,Cold wave,177,,2001-0668
09/04/2005,10/04/2005,Afghanistan,AFG,Badakhshan province, ¡C,Extreme temperature ,Cold wave,21,,2005-0757
05/01/2008,15/02/2008,Afghanistan,AFG,"Nangarhar, Laghman (Eastern), Paktika, Paktya (Central), Ghor, Badghis, Hirat (Western), Sar-e-Pul, Kunduz, Balkh, Jawzjan, Takhar (Northern), Hilmand (SouthWest), Farah provinces", ¡C,Extreme temperature ,Severe winter conditions,1317,,2008-0006
16/01/2012,17/01/2012,Afghanistan,AFG,"Badakhshan, Daykundi provinces",-18 ¡C,Extreme temperature ,Severe winter conditions,45,,2012-0050
06/03/1985,06/03/1985,Albania,ALB,, ¡C,Extreme temperature ,Severe winter conditions,68,,1985-0244
01/07/2004,/07/2004,Albania,ALB,"Durres city (Durres district, Durres province)",38 ¡C,Extreme temperature ,Heat wave,3,,2004-0333
15/07/2007,22/07/2007,Albania,ALB,"Berat, Bulqize, Delvine, Devoll, Diber, Durres, Elbasan, Fier, Gjirokast‘r, Gramsh, Has, Kavaje, Kolonj‘, Korce, Kruj‘, Kucove, Kuk‘s, Kurbin, Lezh‘, Librazhd, Lushnj‘, Malesi E Madhe, Mallakaster, Mat, Mirdit‘, Peqin, Permet, Pogradec, Puke, Sarand‘, Shkoder, Skrapar, Tepelen‘, Tirane, Tropoj‘, Vlore provinces", ¡C,Extreme temperature ,Heat wave,0,,2007-0235
/01/2012,/02/2012,Albania,ALB,"Puke, Shkoder, Kukes, Librazhd, Korce provinces, Peshkopi district (Diber province)", ¡C,Extreme temperature ,Severe winter conditions,5,,2012-0012
20/01/2017,20/01/2017,Albania,ALB,"Peshkopi, Bulqiza, Kukes, Puka, Skhodra, Mirdita and Pogradec", ¡C,Extreme temperature ,Severe winter conditions,6,CW-2017-000005/000007,2017-0010
21/06/2003,21/07/2003,Algeria,DZA,Adrar (province?/district?),47 ¡C,Extreme temperature ,Heat wave,40,,2003-0785
16/01/2017,20/01/2017,Algeria,DZA,"Eastern, Central, high plateau regions. Municipalities of Batna, Biskra, Tizi-Ouzou, S_tif, Souk-Ahras, Laghouat, Jijel, Constantine, M_d_a, Djelfa, Tissemsilt, Khenchla, Mila, Oum el Bouaghi, T_b_ssa, Bouira, Bordj Bou Arreridj, El Taref, El Bayad, Bejaia, Saida and Gueulma.", ¡C,Extreme temperature ,Cold wave,0,,2017-0033
04/01/1972,04/01/1972,Argentina,ARG,Buenos Aires, ¡C,Extreme temperature ,Heat wave,100,,1972-0014
/09/1995,/09/1995,Argentina,ARG,"Rawson, sarmiento, El Maiten, Epuyen, Alto Rio Surgen, Cholila, El Hoyo y Carrenleufeu", ¡C,Extreme temperature ,Cold wave,0,,1995-0221
17/06/2000,17/06/2000,Argentina,ARG,"Buenos Aires, Sante Fe, Formosa, Santa Cruz provinces",0 ¡C,Extreme temperature ,Cold wave,15,,2000-0421
/07/2001,/07/2001,Argentina,ARG,"Chubut, Neuquen, Rio Negro (Patagonia), Catamarca, Buenos Aires provinces",-28 ¡C,Extreme temperature ,Cold wave,14,,2001-0377
/07/2002,/07/2002,Argentina,ARG,"Catamarca, Chaco, Corrientes, Formosa, Jujuy, Misiones, Salta, Santiago Del Estero, Tucuman provinces", ¡C,Extreme temperature ,Cold wave,0,,2002-0494
/07/2004,/07/2004,Argentina,ARG,"Mar del Plata city (General Pueyrredon district, Buenos Aires province)",-11 ¡C,Extreme temperature ,Cold wave,5,,2004-0331
/05/2007,/07/2007,Argentina,ARG,"Rosario district (Santa Fe province), Cordoba, San Luis, Buenos Aires, Buenos Aires D.f., Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra Del Fuego, Mendoza, La Rioja provinces",-3.8 ¡C,Extreme temperature ,Severe winter conditions,9,,2007-0263
/07/2010,/07/2010,Argentina,ARG,"Buenos Aires, Buenos Aires D.f., Catamarca, Chaco, Chubut, Cordoba, Corrientes, Entre Rios, Formosa, Jujuy, La Pampa, La Rioja, Mendoza, Misiones, Neuquen, Rio Negro, Salta, San Juan, San Luis, Santa Cruz, Santa Fe, Santiago Del Estero, Tierra Del Fuego, Tucuman provinces", ¡C,Extreme temperature ,Cold wave,42,,2010-0294
/12/2013,/12/2013,Armenia,ARM,Yerevan province,-20 ¡C,Extreme temperature ,Severe winter conditions,0,,2013-0568
/02/1993,/02/1993,Australia,AUS,South-east Australia, ¡C,Extreme temperature ,Heat wave,17,,1993-0515
/01/1994,/01/1994,Australia,AUS,Townsville, ¡C,Extreme temperature ,Heat wave,5,,1994-0641
/12/1994,/12/1994,Australia,AUS,Southern NSW,44 ¡C,Extreme temperature ,Heat wave,0,,1994-0645
/11/1995,/11/1995,Australia,AUS,Western Sydney, ¡C,Extreme temperature ,Heat wave,1,,1995-0443
27/01/2009,08/02/2009,Australia,AUS,"Victoria, New South wales (South), Tasmania (Northern) provinces",48.8 ¡C,Extreme temperature ,Heat wave,347,,2009-0616
13/01/2014,18/01/2014,Australia,AUS,"Western Australia, Victoria provinces",52 ¡C,Extreme temperature ,Heat wave,139,,2014-0010
/07/2003,/08/2003,Austria,AUT,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces", ¡C,Extreme temperature ,Heat wave,345,,2003-0391
27/12/2005,/01/2006,Austria,AUT,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien provinces",-35 ¡C,Extreme temperature ,Severe winter conditions,0,,2005-0713
/07/2007,/07/2007,Austria,AUT,"Burgenland, Karnten, Niederosterreich, Steiermark, Wien provinces",39 ¡C,Extreme temperature ,Heat wave,5,,2007-0235
18/12/2009,19/12/2009,Austria,AUT,Steiermark province, ¡C,Extreme temperature ,Cold wave,2,,2009-0571
/02/2012,/02/2012,Austria,AUT,"Burgenland, Karnten, Niedterosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Voralberg, Wien provinces", ¡C,Extreme temperature ,Cold wave,5,,2012-0019
/02/2012,/02/2012,Azerbaijan,AZE,Baku district (Absheron province),-11 ¡C,Extreme temperature ,Cold wave,5,,2012-0019
/12/1989,/12/1989,Bangladesh,BGD,North, ¡C,Extreme temperature ,Cold wave,100,,1989-0222
/01/1989,/01/1989,Bangladesh,BGD,, ¡C,Extreme temperature ,Cold wave,70,,1989-0247
29/12/1990,29/12/1990,Bangladesh,BGD,, ¡C,Extreme temperature ,Cold wave,67,,1990-0424
