sep=,
year,iso," country_name",occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage"
1936,CAN,Canada,1,500,,,,,
1936,USA,"United States of America (the)",1,1193,,,,,
1951,USA,"United States of America (the)",1,44,,,,,
1953,IND,India,1,400,,,,,
1953,IRN,"Iran (Islamic Republic of)",1,158,,,,,
1953,PAK,Pakistan,1,111,,,,,
1955,USA,"United States of America (the)",1,107,,,,,
1958,IND,India,1,651,,,,,
1962,MEX,Mexico,1,50,,,,,
1965,IND,India,1,100,,,,,
1966,USA,"United States of America (the)",2,262,,,,,
1968,BRA,Brazil,1,113,,,,,
1968,MEX,Mexico,1,40,,,,,
1972,ARG,Argentina,1,100,,,,,
1972,USA,"United States of America (the)",1,10,,,,,
1973,USA,"United States of America (the)",1,22,,,,,
1975,BRA,Brazil,1,56,,,,,
1975,PAK,Pakistan,1,14,,,,,
1978,IND,India,1,150,,,,,
1979,IND,India,2,400,,,,,
1979,PAK,Pakistan,1,70,,,,,
1980,IND,India,1,50,,,,,
1980,USA,"United States of America (the)",1,1260,,,,,2000000
1983,PER,Peru,1,17,,2700,,2700,
1983,USA,"United States of America (the)",1,188,,,,,
1985,GRC,Greece,1,20,,,,,
1985,IND,India,1,103,,,,,
1986,USA,"United States of America (the)",1,48,,,,,1750000
1987,GRC,Greece,1,1000,,,,,
1987,IND,India,1,100,,,,,
1987,NPL,Nepal,1,,10,,,10,
1987,USA,"United States of America (the)",1,80,,,,,
1988,GRC,Greece,1,56,,,,,
1988,IND,India,2,450,200,,,200,
1988,YUG,Yugoslavia,1,38,,,,,
1990,FRA,France,1,5,,,,,
1990,KOR,"Korea (the Republic of)",1,40,,,,,
1990,MEX,Mexico,1,380,,,,,
1990,USA,"United States of America (the)",1,11,,,,,
1991,PAK,Pakistan,1,523,,250,,250,
1993,AUS,Australia,1,17,500,3000000,,3000500,
1993,USA,"United States of America (the)",1,48,,,,,
1994,AUS,Australia,2,5,184,1100000,,1100184,
1994,CHN,China,1,104,,,,,
1994,IND,India,1,161,,,,,
1994,ROU,Romania,1,,,,,,
1995,AUS,Australia,1,1,100,500000,,500100,
1995,EGY,Egypt,1,32,,,,,
1995,IND,India,1,558,,,,,
1995,RUS,"Russian Federation (the)",1,20,,,,,
1995,ESP,Spain,1,30,70,,,70,
1995,USA,"United States of America (the)",1,670,,,,,
1996,EGY,Egypt,1,22,,,,,
1996,PAK,Pakistan,1,32,,,,,
1996,ROU,Romania,1,16,200,,,200,
1997,CHN,China,1,16,,180,,180,
1997,PAK,Pakistan,1,100,,,,,
1998,CYP,Cyprus,1,52,100,,,100,
1998,IND,India,1,2541,,,,,
1998,ITA,Italy,1,10,,,,,
1998,ROU,Romania,1,20,,,,,
1998,USA,"United States of America (the)",1,130,,,,,4275000
1999,IND,India,1,140,,,,,
1999,LTU,Lithuania,1,32,,,,,
1999,PAK,Pakistan,1,11,,,,,
1999,USA,"United States of America (the)",1,257,,,,,1000000
2000,BGR,Bulgaria,1,7,,,,,50
2000,HRV,Croatia,1,40,200,,,200,240000
2000,CYP,Cyprus,1,5,400,,,400,
2000,GRC,Greece,1,27,176,,,176,3000
2000,IND,India,1,7,,,,,
2000,ISR,Israel,1,,,,,,
2000,JOR,Jordan,1,,12,,,12,
2000,MAR,Morocco,1,,,,,,809
2000,PAK,Pakistan,1,24,,,,,
2000,ROU,Romania,1,6,100,,,100,
2000,SCG,"Serbia Montenegro",1,3,70,,,70,
2000,TUR,Turkey,1,11,300,,,300,1000
2000,USA,"United States of America (the)",1,35,,,,,
2001,NZL,"New Zealand",1,,,,,,200000
2001,RUS,"Russian Federation (the)",1,276,,,,,
2001,USA,"United States of America (the)",1,56,,,,,
2002,CHN,China,1,7,3500,,,3500,
2002,IND,India,1,1030,,,,,
2002,NGA,Nigeria,1,60,,,,,
2002,PAK,Pakistan,1,113,24,,,24,
2002,USA,"United States of America (the)",1,14,,,,,
2003,DZA,Algeria,1,40,,,,,
2003,AUT,Austria,1,345,,,,,280000
2003,BGD,Bangladesh,1,62,,,,,
2003,BEL,Belgium,1,1175,,,,,
2003,HRV,Croatia,1,788,,,,,
2003,CZE,"Czech Republic (the)",1,418,,,,,
2003,FRA,France,1,19490,,,,,4400000
2003,DEU,Germany,1,9355,,,,,1650000
2003,IND,India,1,1210,,,,,400000
2003,ITA,Italy,1,20089,,,,,4400000
2003,LUX,Luxembourg,1,170,,,,,
2003,NLD,"Netherlands (the)",1,965,,,,,
2003,PAK,Pakistan,1,200,,,,,
2003,PRT,Portugal,1,2696,,,,,
2003,SVK,Slovakia,1,,,,,,150000
2003,SVN,Slovenia,1,289,,,,,80000
2003,ESP,Spain,1,15090,,,,,880000
2003,CHE,Switzerland,1,1039,,,,,280000
2003,GBR,"United Kingdom of Great Britain and Northern Irela",1,301,,,,,
2004,ALB,Albania,1,3,,,,,
2004,SPI,"Canary Is",1,13,113,,,113,
2004,CHN,China,1,39,,,,,
2004,JPN,Japan,1,10,300,,,300,
2004,MKD,"Macedonia (the former Yugoslav Republic of)",1,15,,,,,
2004,ROU,Romania,1,27,,,,,
2004,ESP,Spain,1,26,,,,,
2005,BGD,Bangladesh,1,,,,,,
2005,CHN,China,1,,200,,,200,
2005,IND,India,1,329,,,,,
2005,PAK,Pakistan,1,106,200,,,200,
2005,PRT,Portugal,1,462,,,,,
2005,ROU,Romania,1,13,500,,,500,
2005,USA,"United States of America (the)",1,33,31,,,31,
2006,BEL,Belgium,1,940,,,,,
2006,FRA,France,1,1388,,,,,
2006,DEU,Germany,1,2,,,,,
2006,IND,India,1,47,,,,,
2006,NLD,"Netherlands (the)",1,1000,,,,,
2006,PAK,Pakistan,1,84,100,,,100,
2006,PRT,Portugal,1,41,,,,,
2006,ROU,Romania,1,26,200,,,200,
2006,ESP,Spain,1,21,,,,,
2006,USA,"United States of America (the)",2,188,,,,,
2007,ALB,Albania,1,,,150,,150,
2007,AUT,Austria,1,5,,,,,
2007,BIH,"Bosnia and Herzegovina",1,,,,,,
2007,BGR,Bulgaria,1,2,50,,,50,
2007,CYP,Cyprus,1,4,,,,,
2007,GRC,Greece,1,16,,,,,
2007,HUN,Hungary,1,500,,,,,
2007,IND,India,1,72,,,,,
2007,ITA,Italy,1,6,,,,,
2007,JPN,Japan,1,62,3000,,,3000,
2007,MKD,"Macedonia (the former Yugoslav Republic of)",1,,,202,,202,
2007,ROU,Romania,1,30,,,,,
2007,SRB,Serbia,1,,,,,,
2007,SVK,Slovakia,1,1,89,,,89,
2007,TUR,Turkey,1,3,,,,,
2008,JPN,Japan,1,47,,,,,
